pressure,conservative_temperature,absolute_salinity
333.0,14.173063,39.006535
334.0,14.172033,39.006535
335.0,14.171004,39.00654
336.0,14.170405,39.006718
337.0,14.169854,39.006916
338.0,14.169303,39.00712
339.0,14.168752,39.00732
340.0,14.1682005,39.00752
341.0,14.167649,39.00772
342.0,14.167098,39.00792
343.0,14.166546,39.00812
344.0,14.165995,39.00832
345.0,14.165443,39.008522
346.0,14.164724,39.008564
347.0,14.163963,39.008564
348.0,14.163203,39.008564
349.0,14.162442,39.008568
350.0,14.161681,39.008568
351.0,14.16092,39.008568
352.0,14.160159,39.00857
353.0,14.159398,39.00857
354.0,14.158637,39.00857
355.0,14.157876,39.00857
356.0,14.15631,39.00837
357.0,14.154743,39.008163
358.0,14.153177,39.007957
359.0,14.15161,39.007755
360.0,14.150044,39.00755
361.0,14.1484785,39.007347
362.0,14.146912,39.00714
363.0,14.145346,39.006935
364.0,14.14378,39.006733
365.0,14.142243,39.006527
366.0,14.14083,39.006332
367.0,14.139417,39.006138
368.0,14.138002,39.00594
369.0,14.136589,39.005745
370.0,14.135176,39.005547
371.0,14.133762,39.005352
372.0,14.132349,39.005154
373.0,14.130936,39.00496
374.0,14.129521,39.00476
375.0,14.128108,39.004566
376.0,14.12614,39.00426
377.0,14.12417,39.003952
378.0,14.122202,39.003647
379.0,14.120233,39.003338
380.0,14.118264,39.003033
381.0,14.116296,39.002728
382.0,14.1143265,39.00242
383.0,14.112358,39.002113
384.0,14.11039,39.001804
385.0,14.108361,39.001503
386.0,14.106095,39.00121
387.0,14.103829,39.00092
388.0,14.101563,39.000626
389.0,14.099297,39.00033
